Epoch: [0]  [  740/12690]  eta: 0:34:01  lr: 0.003706  loss: 0.1468 (0.1742)  loss_classifier: 0.0843 (0.1172)  loss_box_reg: 0.0121 (0.0234)  loss_objectness: 0.0030 (0.0036)  loss_rpn_box_reg: 0.0248 (0.0299)  time: 0.1728  data: 0.0029  max mem: 1670
Epoch: [0]  [  750/12690]  eta: 0:34:00  lr: 0.003756  loss: 0.1261 (0.1743)  loss_classifier: 0.0682 (0.1173)  loss_box_reg: 0.0116 (0.0235)  loss_objectness: 0.0030 (0.0037)  loss_rpn_box_reg: 0.0288 (0.0298)  time: 0.1742  data: 0.0028  max mem: 1670
Epoch: [0]  [  760/12690]  eta: 0:33:58  lr: 0.003806  loss: 0.1466 (0.1744)  loss_classifier: 0.0996 (0.1173)  loss_box_reg: 0.0209 (0.0236)  loss_objectness: 0.0030 (0.0037)  loss_rpn_box_reg: 0.0172 (0.0298)  time: 0.1719  data: 0.0028  max mem: 1670
Epoch: [0]  [  770/12690]  eta: 0:33:57  lr: 0.003856  loss: 0.1582 (0.1744)  loss_classifier: 0.1034 (0.1176)  loss_box_reg: 0.0191 (0.0234)  loss_objectness: 0.0013 (0.0037)  loss_rpn_box_reg: 0.0171 (0.0298)  time: 0.1727  data: 0.0028  max mem: 1670
Epoch: [0]  [  780/12690]  eta: 0:33:55  lr: 0.003906  loss: 0.1432 (0.1741)  loss_classifier: 0.0970 (0.1173)  loss_box_reg: 0.0121 (0.0235)  loss_objectness: 0.0012 (0.0036)  loss_rpn_box_reg: 0.0165 (0.0297)  time: 0.1728  data: 0.0027  max mem: 1670
Epoch: [0]  [  790/12690]  eta: 0:33:54  lr: 0.003956  loss: 0.1445 (0.1740)  loss_classifier: 0.1012 (0.1173)  loss_box_reg: 0.0183 (0.0234)  loss_objectness: 0.0011 (0.0036)  loss_rpn_box_reg: 0.0176 (0.0297)  time: 0.1725  data: 0.0027  max mem: 1670
Epoch: [0]  [  800/12690]  eta: 0:33:52  lr: 0.004006  loss: 0.1464 (0.1734)  loss_classifier: 0.0977 (0.1168)  loss_box_reg: 0.0130 (0.0233)  loss_objectness: 0.0011 (0.0036)  loss_rpn_box_reg: 0.0235 (0.0297)  time: 0.1713  data: 0.0027  max mem: 1670
Epoch: [0]  [  810/12690]  eta: 0:33:51  lr: 0.004056  loss: 0.1338 (0.1731)  loss_classifier: 0.0848 (0.1166)  loss_box_reg: 0.0113 (0.0232)  loss_objectness: 0.0012 (0.0036)  loss_rpn_box_reg: 0.0235 (0.0297)  time: 0.1736  data: 0.0027  max mem: 1670
Epoch: [0]  [  820/12690]  eta: 0:33:50  lr: 0.004106  loss: 0.1548 (0.1746)  loss_classifier: 0.1001 (0.1176)  loss_box_reg: 0.0124 (0.0235)  loss_objectness: 0.0009 (0.0036)  loss_rpn_box_reg: 0.0261 (0.0300)  time: 0.1758  data: 0.0027  max mem: 1670
Epoch: [0]  [  830/12690]  eta: 0:33:48  lr: 0.004156  loss: 0.1448 (0.1745)  loss_classifier: 0.0880 (0.1174)  loss_box_reg: 0.0146 (0.0234)  loss_objectness: 0.0027 (0.0037)  loss_rpn_box_reg: 0.0370 (0.0300)  time: 0.1736  data: 0.0027  max mem: 1670
Epoch: [0]  [  840/12690]  eta: 0:33:46  lr: 0.004206  loss: 0.1327 (0.1741)  loss_classifier: 0.0930 (0.1172)  loss_box_reg: 0.0146 (0.0233)  loss_objectness: 0.0016 (0.0036)  loss_rpn_box_reg: 0.0249 (0.0299)  time: 0.1702  data: 0.0026  max mem: 1670
Epoch: [0]  [  850/12690]  eta: 0:33:45  lr: 0.004256  loss: 0.1327 (0.1737)  loss_classifier: 0.0943 (0.1168)  loss_box_reg: 0.0147 (0.0232)  loss_objectness: 0.0016 (0.0036)  loss_rpn_box_reg: 0.0174 (0.0300)  time: 0.1714  data: 0.0026  max mem: 1670
